TYPO_NATIONALE;TYPO_I2M2
GM20;60
P20;57
TP20;57
GM20/9;60
G21;9
M21;61
P21;12
TP21;14
G3;8
M3;62
P3;13
TP3;63
M3/19;62
M3/8;11
G3/19-8;8
M17;NA
P17;54
TP17;54
TG17/3-21;NA
G17/3-21;9
M15-17/3-21;51
P17/3-21;12
TP17/3-21;NA
G15/5;NA
MP15/5;51
TG15;NA
MP15;51
TP15;52
TG10-15/4;NA
G5;20
M5;19
P5;21
TP5;22
TG5/2;NA
GM5/2;20
TTGA;NA
G2;5
MP2;6
TP2;7
GMP7;28
TP7;29
TG6-7/2;NA
GM7/2;65
GM6/2-7;23
TG6/1-8;NA
GM6/8;24
GM6/1;23
G6;26
MP6;26
TP6;27
GM8;25
PTP8;30
M8-A;25
PTP8-A;31
G16;23
M16-A;53
PTP16-A;58
M16-B;26
PTP16-B;NA
P19;56
GM19/8;11
P11;56
TP11;41
TG11/3-21;NA
G11/3-21;48
M11/3-21;10
P11/3-21;12
TG14/3-11;NA
G14/3;48
M14/3-11;10
M14/3-8;11
GM14;49
P14;49
TP14;50
TG14/1;NA
G14/1;64
M14/1;64
P14/1;3
M13;46
P13;46
TP13;47
G1;1
M1;1
P1;2
TP1;4
G12;42
M12-A;42
P12-A;44
TP12-A;44
M12-B;43
P12-B;45
TP12-B;45
TTGL;NA
M9-A;34
P9-A;34
TG9;NA
G9;37
M9;32
P9;35
TP9;36
G9/10;37
M9/10;32
TG9/21;NA
G9-10/21;33
M9-10/21;33
G10;37
M10;38
P10;39
TP10;40
G10/4;37
M10/4;15
M4;15
P4;16
TP4;66
TG22/10;NA
GM22;17
P22;17
TP22;18
MP18;55
TP18;55
G18/4;37
M18/4;59
P18/4;59
C;NA
